"Subject"	"Sex"	"Age_PRETEST"
"PRE001"	"f"	3.11
"PRE002"	"m"	4.5
"PRE003"	"m"	4.3
"PRE004"	"m"	3.1
"PRE005"	"f"	4.8
"PRE006"	"f"	4.4
"PRE007"	"f"	4.1
"PRE008"	"f"	4.5
"PRE009"	"m"	3.11
"PRE010"	"m"	4.6
"PRE011"	"f"	4.6
"PRE012"	"f"	4.7
"PRE013"	"f"	4.3
"PRE014"	"m"	4.6
"PRE015"	"f"	4.11
"PRE016"	"m"	3.1
"PRE017"	"m"	4.9
"PRE018"	"f"	3.11
"PRE019"	"f"	4.8
"PRE020"	"f"	4.4
