Scenario - 												
												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
PRE004	1	Response	3	225210	234827	1						
PRE004	2	Response	3	235205	9870	1						
PRE004	4	Picture	B1 T1	243530	0	1	5008	392	0	next	other	0
PRE004	5	Picture	RO09.jpg	248538	0	391	38380	392	0	next	other	0
PRE004	6	Sound	RO09.wav	249038	0	2			0		other	0
PRE004	7	Picture	RO09.jpg	286918	0	1	48586	2	0	next	hit	7
PRE004	7	Response	1	335388	48470	1						
PRE004	9	Picture	B1 T2	343502	0	1	5199	2	0	next	other	0
PRE004	10	Picture	RO20.jpg	348701	0	1	37789	2	0	next	other	0
PRE004	11	Sound	RO20.wav	349201	0	2			0		other	0
PRE004	12	Picture	RO20.jpg	386490	0	1	39589	2	0	next	incorrect	12
PRE004	12	Response	1	425969	39479	1						
PRE004	14	Picture	B1 T3	437076	0	1	5199	2	0	next	other	0
PRE004	15	Picture	RS28.jpg	442275	0	1	37789	2	0	next	other	0
PRE004	16	Sound	RS28.wav	442775	0	2			0		other	0
PRE004	17	Picture	RS28.jpg	480064	0	1	65782	2	0	next	hit	17
PRE004	17	Response	2	545667	65603	1						
PRE004	18	Pause		556117	10271		106068					
PRE004	18	Resume		556117	10271							
PRE004	19	Picture	B1 T4	559944	0	1	5199	2	0	next	other	0
PRE004	20	Picture	AT26.jpg	565143	0	1	29192	2	0	next	other	0
PRE004	21	Sound	AT26.wav	565643	0	2			0		other	0
PRE004	22	Picture	AT26.jpg	594335	0	1	48387	2	0	next	hit	24
PRE004	22	Response	1	642687	48352	1						
PRE004	24	Picture	B1 T5	650719	0	1	5199	2	0	next	other	0
PRE004	25	Picture	RS23.jpg	655918	0	1	38189	2	0	next	other	0
PRE004	26	Sound	RS23.wav	656418	0	2			0		other	0
PRE004	27	Picture	RS23.jpg	694107	0	1	47787	2	0	next	hit	29
PRE004	27	Response	2	741802	47695	1						
PRE004	29	Picture	B1 T6	749892	0	1	5199	2	0	next	other	0
PRE004	30	Picture	OF04.jpg	755091	0	1	27392	2	0	next	other	0
PRE004	31	Sound	OF04.wav	755591	0	2			0		other	0
PRE004	32	Picture	OF04.jpg	782483	0	1	67182	2	0	next	incorrect	34
PRE004	32	Response	2	849628	67145	1						
PRE004	34	Picture	B1 T7	858062	0	1	5199	2	0	next	other	0
PRE004	35	Picture	AT18.jpg	863261	0	1	28392	2	0	next	other	0
PRE004	36	Sound	AT18.wav	863761	0	2			0		other	0
PRE004	37	Picture	AT18.jpg	891653	0	1	19395	2	0	next	hit	39
PRE004	37	Response	1	910934	19281	1						
PRE004	39	Picture	B1 T8	918846	0	1	5198	2	0	next	other	0
PRE004	40	Picture	OF30.jpg	924044	0	1	29792	2	0	next	other	0
PRE004	41	Sound	OF30.wav	924544	0	2			0		other	0
PRE004	42	Picture	OF30.jpg	953836	0	1	12197	2	0	next	incorrect	44
PRE004	42	Response	2	965993	12157	1						
PRE004	44	Picture	B1 T9	974430	0	1	5199	2	0	next	other	0
PRE004	45	Picture	AT10.jpg	979629	0	1	28592	2	0	next	other	0
PRE004	46	Sound	AT10.wav	980129	0	2			0		other	0
PRE004	47	Picture	AT10.jpg	1008221	0	1	31591	2	0	next	hit	49
PRE004	47	Response	1	1039721	31500	1						
PRE004	49	Picture	B1 T10	1047610	0	1	5089	2	0	next	other	0
PRE004	49	Pause		1050046	2436		1657052					
PRE004	49	Resume		1050046	2436							
PRE004	50	Picture	RS05.jpg	1052699	0	1	40189	2	0	next	other	0
PRE004	51	Sound	RS05.wav	1053199	0	2			0		other	0
PRE004	52	Picture	RS05.jpg	1092888	0	1	15196	2	0	next	hit	56
PRE004	52	Response	2	1107973	15085	1						
PRE004	54	Picture	B1 T11	1119081	0	1	5199	2	0	next	other	0
PRE004	55	Picture	RO08.jpg	1124280	0	1	38389	2	0	next	other	0
PRE004	56	Sound	RO08.wav	1124780	0	2			0		other	0
