Scenario - 												
												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
PRE009	1	Response	3	134195	143995	1						
PRE009	2	Response	3	156769	22408	1						
PRE009	4	Picture	B1 T1	164153	0	1	5008	392	0	next	other	0
PRE009	5	Picture	RO09.jpg	169161	0	391	38180	392	0	next	other	0
PRE009	6	Sound	RO09.wav	169661	0	2			0		other	0
PRE009	7	Picture	RO09.jpg	207341	0	1	42589	2	0	next	incorrect	7
PRE009	7	Response	2	249818	42477	1						
PRE009	9	Picture	B1 T2	257328	0	1	5199	2	0	next	other	0
PRE009	10	Picture	RO20.jpg	262527	0	1	37989	2	0	next	other	0
PRE009	11	Sound	RO20.wav	263027	0	2			0		other	0
PRE009	12	Picture	RO20.jpg	300516	0	1	94575	2	0	next	hit	12
PRE009	12	Response	2	394899	94383	1						
PRE009	14	Picture	B1 T3	402489	0	1	5199	2	0	next	other	0
PRE009	15	Picture	RS28.jpg	407688	0	1	37790	2	0	next	other	0
PRE009	16	Sound	RS28.wav	408188	0	2			0		other	0
PRE009	17	Picture	RS28.jpg	445478	0	1	40789	2	0	next	hit	17
PRE009	17	Response	2	486148	40670	1						
PRE009	19	Picture	B1 T4	493665	0	1	5198	2	0	next	other	0
PRE009	20	Picture	AT26.jpg	498863	0	1	29393	2	0	next	other	0
PRE009	21	Sound	AT26.wav	499363	0	2			0		other	0
PRE009	22	Picture	AT26.jpg	528256	0	1	4798	2	0	next	hit	22
PRE009	22	Response	1	532879	4623	1						
PRE009	24	Picture	B1 T5	540252	0	1	5199	2	0	next	other	0
PRE009	25	Picture	RS23.jpg	545451	0	1	38390	2	0	next	other	0
PRE009	26	Sound	RS23.wav	545951	0	2			0		other	0
PRE009	27	Picture	RS23.jpg	583841	0	1	11797	2	0	next	incorrect	27
PRE009	27	Response	1	595491	11650	1						
PRE009	29	Picture	B1 T6	603036	0	1	5198	2	0	next	other	0
PRE009	30	Picture	OF04.jpg	608234	0	1	27393	2	0	next	other	0
PRE009	31	Sound	OF04.wav	608734	0	2			0		other	0
PRE009	32	Picture	OF04.jpg	635627	0	1	17595	2	0	next	hit	32
PRE009	32	Response	1	653181	17554	1						
PRE009	34	Picture	B1 T7	660620	0	1	5199	2	0	next	other	0
PRE009	35	Picture	AT18.jpg	665819	0	1	28392	2	0	next	other	0
PRE009	36	Sound	AT18.wav	666319	0	2			0		other	0
PRE009	37	Picture	AT18.jpg	694211	0	1	27593	2	0	next	hit	37
PRE009	37	Response	1	721692	27481	1						
PRE009	39	Picture	B1 T8	729202	0	1	5198	2	0	next	other	0
PRE009	40	Picture	OF30.jpg	734400	0	1	29593	2	0	next	other	0
PRE009	41	Sound	OF30.wav	734900	0	2			0		other	0
PRE009	42	Picture	OF30.jpg	763993	0	1	37589	2	0	next	hit	42
PRE009	42	Response	1	801377	37384	1						
PRE009	44	Picture	B1 T9	808980	0	2	5199	3	0	next	other	0
PRE009	45	Picture	AT10.jpg	814179	0	1	28792	2	0	next	other	0
PRE009	46	Sound	AT10.wav	814679	0	2			0		other	0
PRE009	47	Picture	AT10.jpg	842971	0	1	36991	2	0	next	hit	47
PRE009	47	Response	1	879773	36802	1						
PRE009	49	Picture	B1 T10	887360	0	1	5198	2	0	next	other	0
PRE009	50	Picture	RS05.jpg	892558	0	1	40189	2	0	next	other	0
PRE009	51	Sound	RS05.wav	893058	0	2			0		other	0
PRE009	52	Picture	RS05.jpg	932747	0	1	12397	2	0	next	hit	52
PRE009	52	Response	2	945128	12381	1						
PRE009	54	Picture	B1 T11	952342	0	1	5199	2	0	next	other	0
PRE009	55	Picture	RO08.jpg	957541	0	1	38390	2	0	next	other	0
PRE009	56	Sound	RO08.wav	958041	0	2			0		other	0
PRE009	57	Picture	RO08.jpg	995931	0	1	35390	2	0	next	hit	57
PRE009	57	Response	1	1031268	35337	1						
PRE009	59	Picture	B1 T12	1038719	0	1	5199	2	0	next	other	0
PRE009	60	Picture	AT20.jpg	1043918	0	1	28792	2	0	next	other	0
PRE009	61	Sound	AT20.wav	1044418	0	2			0		other	0
PRE009	62	Picture	AT20.jpg	1072710	0	1	20195	2	0	next	hit	62
PRE009	62	Response	1	1092856	20146	1						
PRE009	64	Picture	B1 T13	1100303	0	1	5198	2	0	next	other	0
PRE009	65	Picture	OF10.jpg	1105501	0	1	28593	2	0	next	other	0
PRE009	66	Sound	OF10.wav	1106001	0	2			0		other	0
PRE009	67	Picture	OF10.jpg	1134094	0	1	9597	2	0	next	hit	67
PRE009	67	Response	1	1143547	9453	1						
PRE009	69	Picture	B1 T14	1151089	0	1	5199	2	0	next	other	0
PRE009	70	Picture	RO14.jpg	1156288	0	1	37989	3	0	next	other	0
PRE009	71	Sound	RO14.wav	1156788	0	2			0		other	0
PRE009	72	Picture	RO14.jpg	1194277	0	2	35391	3	0	next	hit	72
PRE009	72	Response	1	1229517	35240	1						
PRE009	74	Picture	B1 T15	1237066	0	1	5199	2	0	next	other	0
PRE009	75	Picture	RO02.jpg	1242265	0	1	38389	2	0	next	other	0
PRE009	76	Sound	RO02.wav	1242765	0	2			0		other	0
PRE009	77	Picture	RO02.jpg	1280654	0	1	57385	2	0	next	incorrect	77
PRE009	77	Response	1	1337893	57239	1						
PRE009	79	Picture	B1 T16	1345437	0	1	5199	2	0	next	other	0
PRE009	80	Picture	RO03.jpg	1350636	0	1	36990	2	0	next	other	0
PRE009	81	Sound	RO03.wav	1351136	0	2			0		other	0
PRE009	82	Picture	RO03.jpg	1387626	0	1	50386	2	0	next	incorrect	82
PRE009	82	Response	1	1437816	50190	1						
PRE009	84	Picture	B1 T17	1445410	0	1	5199	2	0	next	other	0
PRE009	85	Picture	AT14.jpg	1450609	0	1	27793	2	0	next	other	0
PRE009	86	Sound	AT14.wav	1451109	0	2			0		other	0
PRE009	87	Picture	AT14.jpg	1478402	0	1	62583	2	0	next	incorrect	87
PRE009	87	Response	1	1540949	62547	1						
PRE009	89	Picture	B1 T18	1548383	0	1	5198	2	0	next	other	0
PRE009	90	Picture	RS30.jpg	1553581	0	1	39990	2	0	next	other	0
PRE009	91	Sound	RS30.wav	1554081	0	2			0		other	0
PRE009	92	Picture	RS30.jpg	1593571	0	1	19395	2	0	next	hit	92
PRE009	92	Response	2	1612782	19211	1						
PRE009	94	Picture	B1 T19	1620164	0	1	5198	2	0	next	other	0
PRE009	95	Picture	AT15.jpg	1625362	0	1	29392	2	0	next	other	0
PRE009	96	Sound	AT15.wav	1625862	0	2			0		other	0
PRE009	97	Picture	AT15.jpg	1654754	0	1	37590	2	0	next	hit	97
PRE009	97	Response	1	1692198	37444	1						
PRE009	99	Picture	B1 T20	1699742	0	1	5199	2	0	next	other	0
PRE009	100	Picture	AT23.jpg	1704941	0	1	28992	2	0	next	other	0
PRE009	101	Sound	AT23.wav	1705441	0	2			0		other	0
PRE009	102	Picture	AT23.jpg	1733933	0	1	18395	2	0	next	hit	102
PRE009	102	Response	1	1752246	18313	1						
PRE009	104	Picture	B1 T21	1759526	0	1	5199	2	0	next	other	0
PRE009	105	Picture	OF08.jpg	1764725	0	1	29192	2	0	next	other	0
