Scenario - 												
												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
PRE019	1	Response	3	26700	36100	1						
PRE019	2	Response	3	55412	28622	1						
PRE019	4	Picture	B1 T1	63780	0	1	5008	392	0	next	other	0
PRE019	5	Picture	RO09.jpg	68788	0	391	38180	392	0	next	other	0
PRE019	6	Sound	RO09.wav	69288	0	2			0		other	0
PRE019	7	Picture	RO09.jpg	106968	0	1	36590	2	0	next	hit	7
PRE019	7	Response	1	143435	36467	1						
PRE019	9	Picture	B1 T2	151756	0	1	5199	2	0	next	other	0
PRE019	10	Picture	RO20.jpg	156955	0	1	37790	2	0	next	other	0
PRE019	11	Sound	RO20.wav	157455	0	2			0		other	0
PRE019	12	Picture	RO20.jpg	194745	0	1	30991	2	0	next	hit	12
PRE019	12	Response	2	225563	30818	1						
PRE019	14	Picture	B1 T3	239933	0	1	5198	2	0	next	other	0
PRE019	15	Picture	RS28.jpg	245131	0	1	37790	2	0	next	other	0
PRE019	16	Sound	RS28.wav	245631	0	2			0		other	0
PRE019	17	Picture	RS28.jpg	282921	0	1	23794	2	0	next	hit	17
PRE019	17	Response	2	306599	23678	1						
PRE019	19	Picture	B1 T4	314713	0	1	5198	2	0	next	other	0
PRE019	20	Picture	AT26.jpg	319911	0	1	29392	2	0	next	other	0
PRE019	21	Sound	AT26.wav	320411	0	2			0		other	0
PRE019	22	Picture	AT26.jpg	349303	0	1	13197	2	0	next	hit	22
PRE019	22	Response	1	362437	13134	2						
PRE019	24	Picture	B1 T5	370698	0	1	5198	2	0	next	other	0
PRE019	25	Picture	RS23.jpg	375896	0	1	38190	2	0	next	other	0
PRE019	26	Sound	RS23.wav	376396	0	2			0		other	0
PRE019	27	Picture	RS23.jpg	414086	0	1	7598	2	0	next	hit	27
PRE019	27	Response	2	421521	7435	1						
PRE019	29	Picture	B1 T6	429082	0	1	5199	2	0	next	other	0
PRE019	30	Picture	OF04.jpg	434281	0	1	27392	2	0	next	other	0
PRE019	31	Sound	OF04.wav	434781	0	2			0		other	0
PRE019	32	Picture	OF04.jpg	461673	0	1	32992	2	0	next	hit	32
PRE019	32	Response	1	494483	32810	1						
PRE019	34	Picture	B1 T7	502063	0	1	5198	2	0	next	other	0
PRE019	35	Picture	AT18.jpg	507261	0	1	28592	3	0	next	other	0
PRE019	36	Sound	AT18.wav	507761	0	2			0		other	0
PRE019	37	Picture	AT18.jpg	535853	0	2	18596	3	0	next	hit	37
PRE019	37	Response	1	554372	18519	1						
PRE019	39	Picture	B1 T8	562646	0	1	5199	2	0	next	other	0
PRE019	40	Picture	OF30.jpg	567845	0	1	29592	2	0	next	other	0
PRE019	41	Sound	OF30.wav	568345	0	2			0		other	0
PRE019	42	Picture	OF30.jpg	597437	0	1	38590	2	0	next	hit	42
PRE019	42	Response	1	635953	38516	1						
PRE019	44	Picture	B1 T9	644225	0	1	5198	2	0	next	other	0
PRE019	45	Picture	AT10.jpg	649423	0	1	28592	3	0	next	other	0
PRE019	46	Sound	AT10.wav	649923	0	2			0		other	0
PRE019	47	Picture	AT10.jpg	678015	0	2	25394	3	0	next	incorrect	47
PRE019	47	Response	2	703380	25365	1						
PRE019	49	Picture	B1 T10	711607	0	1	5198	2	0	next	other	0
PRE019	50	Picture	RS05.jpg	716805	0	1	40189	2	0	next	other	0
PRE019	51	Sound	RS05.wav	717305	0	2			0		other	0
PRE019	52	Picture	RS05.jpg	756994	0	1	20995	2	0	next	hit	52
PRE019	52	Response	2	777901	20907	1						
PRE019	54	Picture	B1 T11	786187	0	1	5198	2	0	next	other	0
PRE019	55	Picture	RO08.jpg	791385	0	1	38390	2	0	next	other	0
PRE019	56	Sound	RO08.wav	791885	0	2			0		other	0
PRE019	57	Picture	RO08.jpg	829775	0	1	19795	2	0	next	incorrect	57
PRE019	57	Response	2	849427	19652	1						
PRE019	59	Picture	B1 T12	857567	0	2	5199	3	0	next	other	0
PRE019	60	Picture	AT20.jpg	862766	0	1	28792	2	0	next	other	0
PRE019	61	Sound	AT20.wav	863266	0	2			0		other	0
PRE019	62	Picture	AT20.jpg	891558	0	1	22194	3	0	next	hit	62
PRE019	62	Response	1	913565	22007	1						
PRE019	64	Picture	B1 T13	921750	0	1	5199	2	0	next	other	0
PRE019	65	Picture	OF10.jpg	926949	0	1	28592	2	0	next	other	0
PRE019	66	Sound	OF10.wav	927449	0	2			0		other	0
