Scenario - 												
												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
PRE016	1	Response	3	49367	58967	1						
PRE016	2	Response	3	59170	9786	1						
PRE016	4	Picture	B1 T1	66979	0	1	5009	392	0	next	other	0
PRE016	5	Picture	RO09.jpg	71988	0	391	38180	392	0	next	other	0
PRE016	6	Sound	RO09.wav	72488	0	2			0		other	0
PRE016	7	Picture	RO09.jpg	110168	0	1	43588	2	0	next	incorrect	7
PRE016	7	Response	2	153624	43456	1						
PRE016	9	Picture	B1 T2	161754	0	1	5199	2	0	next	other	0
PRE016	10	Picture	RO20.jpg	166953	0	1	37990	2	0	next	other	0
PRE016	11	Sound	RO20.wav	167453	0	2			0		other	0
PRE016	12	Picture	RO20.jpg	204943	0	1	31792	2	0	next	hit	12
PRE016	12	Response	2	236657	31714	1						
PRE016	14	Picture	B1 T3	244732	0	1	5199	2	0	next	other	0
PRE016	15	Picture	RS28.jpg	249931	0	1	37990	2	0	next	other	0
PRE016	16	Sound	RS28.wav	250431	0	2			0		other	0
PRE016	17	Picture	RS28.jpg	287921	0	1	36191	2	0	next	incorrect	17
PRE016	17	Response	1	324016	36095	1						
PRE016	19	Picture	B1 T4	332109	0	1	5199	2	0	next	other	0
PRE016	20	Picture	AT26.jpg	337308	0	1	29392	2	0	next	other	0
PRE016	21	Sound	AT26.wav	337808	0	2			0		other	0
PRE016	22	Picture	AT26.jpg	366700	0	1	8598	2	0	next	hit	22
PRE016	22	Response	1	375142	8442	1						
PRE016	24	Picture	B1 T5	382696	0	1	5199	2	0	next	other	0
PRE016	25	Picture	RS23.jpg	387895	0	1	38190	2	0	next	other	0
PRE016	26	Sound	RS23.wav	388395	0	2			0		other	0
PRE016	27	Picture	RS23.jpg	426085	0	1	17995	2	0	next	incorrect	27
PRE016	27	Response	1	444061	17976	1						
PRE016	29	Picture	B1 T6	454877	0	1	5199	2	0	next	other	0
PRE016	30	Picture	OF04.jpg	460076	0	1	27193	2	0	next	other	0
PRE016	31	Sound	OF04.wav	460576	0	2			0		other	0
PRE016	32	Picture	OF04.jpg	487269	0	1	56385	2	0	next	hit	32
PRE016	32	Response	1	543635	56366	1						
PRE016	34	Picture	B1 T7	551052	0	1	5131	2	0	next	other	0
PRE016	34	Pause		554988	3936		173821					
PRE016	34	Resume		554988	3936							
PRE016	35	Picture	AT18.jpg	556183	0	1	28593	2	0	next	other	0
PRE016	36	Sound	AT18.wav	556683	0	2			0		other	0
PRE016	37	Picture	AT18.jpg	584776	0	1	32591	2	0	next	hit	39
PRE016	37	Response	1	617233	32457	1						
PRE016	39	Picture	B1 T8	628364	0	1	5199	2	0	next	other	0
PRE016	40	Picture	OF30.jpg	633563	0	1	29592	2	0	next	other	0
PRE016	41	Sound	OF30.wav	634063	0	2			0		other	0
PRE016	42	Picture	OF30.jpg	663155	0	1	5199	2	0	next	hit	44
PRE016	42	Response	1	668239	5084	1						
PRE016	44	Picture	B1 T9	676552	0	1	5198	2	0	next	other	0
PRE016	45	Picture	AT10.jpg	681750	0	1	28593	2	0	next	other	0
