Scenario - 												
												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
PRE003	1	Response	3	48956	58756	1						
PRE003	2	Response	3	67100	18116	1						
PRE003	4	Picture	B1 T1	74377	0	1	5009	392	0	next	other	0
PRE003	5	Picture	RO09.jpg	79386	0	391	38180	392	0	next	other	0
PRE003	6	Sound	RO09.wav	79886	0	2			0		other	0
PRE003	7	Picture	RO09.jpg	117566	0	1	29392	2	0	next	hit	7
PRE003	7	Response	1	146805	29239	1						
PRE003	9	Picture	B1 T2	154356	0	1	5199	2	0	next	other	0
PRE003	10	Picture	RO20.jpg	159555	0	1	37990	2	0	next	other	0
PRE003	11	Sound	RO20.wav	160055	0	2			0		other	0
PRE003	12	Picture	RO20.jpg	197545	0	1	15996	2	0	next	hit	12
PRE003	12	Response	2	213402	15857	1						
PRE003	14	Picture	B1 T3	220939	0	1	5198	2	0	next	other	0
PRE003	15	Picture	RS28.jpg	226137	0	1	37790	2	0	next	other	0
PRE003	16	Sound	RS28.wav	226637	0	2			0		other	0
PRE003	17	Picture	RS28.jpg	263927	0	1	22594	2	0	next	hit	17
PRE003	17	Response	2	286458	22531	2						
PRE003	19	Picture	B1 T4	293919	0	2	5199	3	0	next	other	0
PRE003	20	Picture	AT26.jpg	299118	0	1	29392	2	0	next	other	0
PRE003	21	Sound	AT26.wav	299618	0	2			0		other	0
PRE003	22	Picture	AT26.jpg	328510	0	1	9998	2	0	next	hit	22
PRE003	22	Response	1	338469	9959	1						
PRE003	24	Picture	B1 T5	345706	0	1	5198	3	0	next	other	0
PRE003	25	Picture	RS23.jpg	350904	0	2	38190	3	0	next	other	0
PRE003	26	Sound	RS23.wav	351404	0	2			0		other	0
PRE003	27	Picture	RS23.jpg	389094	0	1	12197	2	0	next	hit	27
PRE003	27	Response	2	401276	12182	1						
PRE003	29	Picture	B1 T6	408689	0	1	5199	2	0	next	other	0
PRE003	30	Picture	OF04.jpg	413888	0	1	27393	2	0	next	other	0
PRE003	31	Sound	OF04.wav	414388	0	2			0		other	0
PRE003	32	Picture	OF04.jpg	441281	0	1	4599	2	0	next	hit	32
PRE003	32	Response	1	445831	4550	1						
PRE003	34	Picture	B1 T7	453278	0	1	5198	2	0	next	other	0
PRE003	35	Picture	AT18.jpg	458476	0	1	28393	2	0	next	other	0
PRE003	36	Sound	AT18.wav	458976	0	2			0		other	0
PRE003	37	Picture	AT18.jpg	486869	0	1	11597	2	0	next	hit	37
PRE003	37	Response	1	498437	11568	1						
PRE003	39	Picture	B1 T8	505864	0	1	5198	2	0	next	other	0
PRE003	40	Picture	OF30.jpg	511062	0	1	29593	2	0	next	other	0
PRE003	41	Sound	OF30.wav	511562	0	2			0		other	0
PRE003	42	Picture	OF30.jpg	540655	0	1	3999	2	0	next	hit	42
PRE003	42	Response	1	544475	3820	1						
PRE003	44	Picture	B1 T9	552052	0	1	5198	2	0	next	other	0
PRE003	45	Picture	AT10.jpg	557250	0	1	28593	2	0	next	other	0
PRE003	46	Sound	AT10.wav	557750	0	2			0		other	0
PRE003	47	Picture	AT10.jpg	585843	0	1	1999	2	0	next	hit	47
PRE003	47	Response	1	587727	1884	1						
PRE003	49	Picture	B1 T10	595240	0	1	5199	2	0	next	other	0
PRE003	50	Picture	RS05.jpg	600439	0	1	39989	2	0	next	other	0
PRE003	51	Sound	RS05.wav	600939	0	2			0		other	0
PRE003	52	Picture	RS05.jpg	640428	0	1	11197	2	0	next	hit	52
PRE003	52	Response	2	651516	11088	1						
PRE003	54	Picture	B1 T11	659023	0	1	5199	2	0	next	other	0
PRE003	55	Picture	RO08.jpg	664222	0	1	38390	2	0	next	other	0
PRE003	56	Sound	RO08.wav	664722	0	2			0		other	0
PRE003	57	Picture	RO08.jpg	702612	0	1	5399	2	0	next	hit	57
PRE003	57	Response	1	707896	5284	1						
PRE003	59	Picture	B1 T12	715409	0	1	5198	2	0	next	other	0
PRE003	60	Picture	AT20.jpg	720607	0	1	28593	2	0	next	other	0
PRE003	61	Sound	AT20.wav	721107	0	2			0		other	0
PRE003	62	Picture	AT20.jpg	749200	0	1	1799	2	0	next	hit	62
PRE003	62	Response	1	750863	1663	1						
PRE003	64	Picture	B1 T13	758397	0	1	5199	2	0	next	other	0
PRE003	65	Picture	OF10.jpg	763596	0	1	28592	2	0	next	other	0
PRE003	66	Sound	OF10.wav	764096	0	2			0		other	0
PRE003	67	Picture	OF10.jpg	792188	0	1	6599	2	0	next	hit	67
PRE003	67	Response	1	798681	6493	2						
PRE003	69	Picture	B1 T14	805985	0	1	5198	2	0	next	other	0
PRE003	70	Picture	RO14.jpg	811183	0	1	37990	2	0	next	other	0
PRE003	71	Sound	RO14.wav	811683	0	2			0		other	0
PRE003	72	Picture	RO14.jpg	849173	0	1	11197	3	0	next	incorrect	72
PRE003	72	Response	2	860210	11037	1						
PRE003	74	Picture	B1 T15	867769	0	1	5198	2	0	next	other	0
PRE003	75	Picture	RO02.jpg	872967	0	1	38390	2	0	next	other	0
PRE003	76	Sound	RO02.wav	873467	0	2			0		other	0
PRE003	77	Picture	RO02.jpg	911357	0	1	6598	2	0	next	hit	77
PRE003	77	Response	2	917786	6429	1						
PRE003	79	Picture	B1 T16	925353	0	1	5199	2	0	next	other	0
PRE003	80	Picture	RO03.jpg	930552	0	1	36990	2	0	next	other	0
PRE003	81	Sound	RO03.wav	931052	0	2			0		other	0
PRE003	82	Picture	RO03.jpg	967542	0	1	2000	2	0	next	hit	82
PRE003	82	Response	2	969431	1889	1						
PRE003	84	Picture	B1 T17	976940	0	1	5198	2	0	next	other	0
PRE003	85	Picture	AT14.jpg	982138	0	1	27993	2	0	next	other	0
PRE003	86	Sound	AT14.wav	982638	0	2			0		other	0
PRE003	87	Picture	AT14.jpg	1010131	0	1	5199	2	0	next	hit	87
PRE003	87	Response	2	1015278	5147	1						
PRE003	89	Picture	B1 T18	1022728	0	1	5198	2	0	next	other	0
PRE003	90	Picture	RS30.jpg	1027926	0	1	39990	2	0	next	other	0
PRE003	91	Sound	RS30.wav	1028426	0	2			0		other	0
PRE003	92	Picture	RS30.jpg	1067916	0	1	2799	2	0	next	hit	92
PRE003	92	Response	2	1070554	2638	1						
PRE003	94	Picture	B1 T19	1077913	0	1	5199	2	0	next	other	0
PRE003	95	Picture	AT15.jpg	1083112	0	1	29592	2	0	next	other	0
PRE003	96	Sound	AT15.wav	1083612	0	2			0		other	0
PRE003	97	Picture	AT15.jpg	1112704	0	1	9598	2	0	next	hit	97
PRE003	97	Response	1	1122189	9485	2						
PRE003	99	Picture	B1 T20	1129700	0	1	5198	2	0	next	other	0
PRE003	100	Picture	AT23.jpg	1134898	0	1	28993	2	0	next	other	0
PRE003	101	Sound	AT23.wav	1135398	0	2			0		other	0
PRE003	102	Picture	AT23.jpg	1163891	0	1	400	2	0	next	hit	102
PRE003	102	Response	1	1164178	287	1						
