Scenario - 												
												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
PRE013	1	Response	3	146737	156361	1						
PRE013	2	Response	3	152474	5716	1						
PRE013	4	Picture	B1 T1	160555	0	1	5008	392	0	next	other	0
PRE013	5	Picture	RO09.jpg	165563	0	391	38180	392	0	next	other	0
PRE013	6	Sound	RO09.wav	166063	0	2			0		other	0
PRE013	7	Picture	RO09.jpg	203743	0	1	96528	2	0	next	hit	9
PRE013	7	Pause		283551	79808		31638					
PRE013	7	Resume		283551	79808							
PRE013	7	Response	1	300194	96451	1						
PRE013	9	Picture	B1 T2	311068	0	1	5199	2	0	next	other	0
PRE013	10	Picture	RO20.jpg	316267	0	1	37790	2	0	next	other	0
PRE013	11	Sound	RO20.wav	316767	0	2			0		other	0
PRE013	12	Picture	RO20.jpg	354057	0	1	29392	2	0	next	incorrect	14
PRE013	12	Response	1	383341	29284	1						
PRE013	14	Picture	B1 T3	394446	0	1	5199	2	0	next	other	0
PRE013	15	Picture	RS28.jpg	399645	0	1	37790	2	0	next	other	0
PRE013	16	Sound	RS28.wav	400145	0	2			0		other	0
PRE013	17	Picture	RS28.jpg	437435	0	1	28792	2	0	next	hit	19
PRE013	17	Response	2	466042	28607	1						
PRE013	19	Picture	B1 T4	474225	0	1	5199	2	0	next	other	0
PRE013	20	Picture	AT26.jpg	479424	0	1	29392	2	0	next	other	0
PRE013	21	Sound	AT26.wav	479924	0	2			0		other	0
PRE013	22	Picture	AT26.jpg	508816	0	1	15996	2	0	next	hit	24
PRE013	22	Response	1	524679	15863	1						
PRE013	24	Picture	B1 T5	532610	0	1	5198	2	0	next	other	0
PRE013	25	Picture	RS23.jpg	537808	0	1	38390	2	0	next	other	0
PRE013	26	Sound	RS23.wav	538308	0	2			0		other	0
PRE013	27	Picture	RS23.jpg	576198	0	1	13996	3	0	next	hit	29
PRE013	27	Response	2	590117	13919	1						
PRE013	29	Picture	B1 T6	597992	0	1	5199	2	0	next	other	0
PRE013	30	Picture	OF04.jpg	603191	0	1	27393	2	0	next	other	0
PRE013	31	Sound	OF04.wav	603691	0	2			0		other	0
PRE013	32	Picture	OF04.jpg	630584	0	1	49187	2	0	next	hit	34
PRE013	32	Response	1	679590	49006	1						
PRE013	34	Picture	B1 T7	687169	0	1	5199	2	0	next	other	0
PRE013	35	Picture	AT18.jpg	692368	0	1	28592	2	0	next	other	0
PRE013	36	Sound	AT18.wav	692868	0	2			0		other	0
PRE013	37	Picture	AT18.jpg	720960	0	1	26593	2	0	next	hit	39
PRE013	37	Response	1	747506	26546	1						
PRE013	39	Picture	B1 T8	758750	0	1	5199	2	0	next	other	0
PRE013	40	Picture	OF30.jpg	763949	0	1	29592	2	0	next	other	0
PRE013	41	Sound	OF30.wav	764449	0	2			0		other	0
PRE013	42	Picture	OF30.jpg	793541	0	1	99081	2	0	next	hit	46
PRE013	42	Pause		882468	88927		16688					
PRE013	42	Resume		882468	88927							
PRE013	42	Response	1	892587	99046	1						
PRE013	44	Picture	B1 T9	903819	0	1	5199	2	0	next	other	0
PRE013	45	Picture	AT10.jpg	909018	0	1	28592	2	0	next	other	0
PRE013	46	Sound	AT10.wav	909518	0	2			0		other	0
PRE013	47	Picture	AT10.jpg	937610	0	1	56985	2	0	next	hit	51
PRE013	47	Response	1	994452	56842	1						
PRE013	49	Picture	B1 T10	1005392	0	1	5199	2	0	next	other	0
PRE013	50	Picture	RS05.jpg	1010591	0	1	40189	2	0	next	other	0
PRE013	51	Sound	RS05.wav	1011091	0	2			0		other	0
PRE013	52	Picture	RS05.jpg	1050780	0	1	14996	3	0	next	incorrect	56
PRE013	52	Response	1	1065689	14909	1						
PRE013	54	Picture	B1 T11	1076774	0	1	5198	2	0	next	other	0
PRE013	55	Picture	RO08.jpg	1081972	0	1	38390	2	0	next	other	0
