Scenario - 												
												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
PRE002	1	Response	3	227455	237079	1						
PRE002	2	Response	3	231227	3691	1						
PRE002	4	Picture	B1 T1	242332	0	1	5009	392	0	next	other	0
PRE002	5	Picture	RO09.jpg	247341	0	391	38379	392	0	next	other	0
PRE002	6	Sound	RO09.wav	247841	0	2			0		other	0
PRE002	7	Picture	RO09.jpg	285720	0	1	11197	2	0	next	hit	7
PRE002	7	Response	1	296822	11102	1						
PRE002	9	Picture	B1 T2	305115	0	1	5199	2	0	next	other	0
PRE002	10	Picture	RO20.jpg	310314	0	1	37790	2	0	next	other	0
PRE002	11	Sound	RO20.wav	310814	0	2			0		other	0
PRE002	12	Picture	RO20.jpg	348104	0	1	12396	2	0	next	hit	12
PRE002	12	Response	2	360438	12334	1						
PRE002	14	Picture	B1 T3	371497	0	1	5199	2	0	next	other	0
PRE002	15	Picture	RS28.jpg	376696	0	1	37790	2	0	next	other	0
PRE002	16	Sound	RS28.wav	377196	0	2			0		other	0
PRE002	17	Picture	RS28.jpg	414486	0	1	8798	2	0	next	incorrect	17
PRE002	17	Response	1	423205	8719	1						
PRE002	19	Picture	B1 T4	431281	0	1	5199	2	0	next	other	0
PRE002	20	Picture	AT26.jpg	436480	0	1	29392	2	0	next	other	0
PRE002	21	Sound	AT26.wav	436980	0	2			0		other	0
PRE002	22	Picture	AT26.jpg	465872	0	1	1000	2	0	next	hit	22
PRE002	22	Response	1	466715	843	1						
PRE002	24	Picture	B1 T5	474870	0	1	5198	2	0	next	other	0
PRE002	25	Picture	RS23.jpg	480068	0	1	38390	2	0	next	other	0
PRE002	26	Sound	RS23.wav	480568	0	2			0		other	0
PRE002	27	Picture	RS23.jpg	518458	0	1	2399	3	0	next	hit	27
PRE002	27	Response	2	520693	2235	1						
PRE002	29	Picture	B1 T6	528455	0	1	5199	2	0	next	other	0
PRE002	30	Picture	OF04.jpg	533654	0	1	27393	2	0	next	other	0
PRE002	31	Sound	OF04.wav	534154	0	2			0		other	0
PRE002	32	Picture	OF04.jpg	561047	0	1	37990	2	0	next	hit	32
PRE002	32	Response	1	598986	37939	1						
PRE002	34	Picture	B1 T7	606435	0	1	5198	2	0	next	other	0
PRE002	35	Picture	AT18.jpg	611633	0	1	28393	2	0	next	other	0
PRE002	36	Sound	AT18.wav	612133	0	2			0		other	0
PRE002	37	Picture	AT18.jpg	640026	0	1	599	3	0	next	hit	37
PRE002	37	Response	1	640562	536	1						
PRE002	39	Picture	B1 T8	651822	0	2	5199	3	0	next	other	0
PRE002	40	Picture	OF30.jpg	657021	0	1	29592	2	0	next	other	0
PRE002	41	Sound	OF30.wav	657521	0	2			0		other	0
PRE002	42	Picture	OF30.jpg	686613	0	1	9398	2	0	next	hit	42
PRE002	42	Response	1	695916	9303	1						
PRE002	44	Picture	B1 T9	704009	0	1	5198	2	0	next	other	0
PRE002	45	Picture	AT10.jpg	709207	0	1	28592	3	0	next	other	0
PRE002	46	Sound	AT10.wav	709707	0	2			0		other	0
PRE002	47	Picture	AT10.jpg	737799	0	2	26993	3	0	next	hit	47
PRE002	47	Response	1	764660	26861	1						
PRE002	49	Picture	B1 T10	772790	0	1	5199	2	0	next	other	0
PRE002	50	Picture	RS05.jpg	777989	0	1	40189	2	0	next	other	0
PRE002	51	Sound	RS05.wav	778489	0	2			0		other	0
PRE002	52	Picture	RS05.jpg	818178	0	1	8998	2	0	next	hit	52
PRE002	52	Response	2	827134	8956	1						
PRE002	54	Picture	B1 T11	835173	0	2	5199	3	0	next	other	0
PRE002	55	Picture	RO08.jpg	840372	0	1	38390	2	0	next	other	0
PRE002	56	Sound	RO08.wav	840872	0	2			0		other	0
PRE002	57	Picture	RO08.jpg	878762	0	1	16995	2	0	next	hit	57
PRE002	57	Response	1	895724	16962	1						
PRE002	59	Picture	B1 T12	903755	0	1	5199	2	0	next	other	0
PRE002	60	Picture	AT20.jpg	908954	0	1	28792	2	0	next	other	0
PRE002	61	Sound	AT20.wav	909454	0	2			0		other	0
PRE002	62	Picture	AT20.jpg	937746	0	1	41589	2	0	next	hit	62
PRE002	62	Response	1	979174	41428	1						
PRE002	64	Picture	B1 T13	987133	0	1	5198	2	0	next	other	0
PRE002	65	Picture	OF10.jpg	992331	0	1	28593	2	0	next	other	0
PRE002	66	Sound	OF10.wav	992831	0	2			0		other	0
PRE002	67	Picture	OF10.jpg	1020924	0	1	13596	2	0	next	hit	67
PRE002	67	Response	1	1034322	13398	1						
PRE002	69	Picture	B1 T14	1042518	0	1	5199	2	0	next	other	0
