Scenario - 												
												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
PRE008	1	Response	3	-1946	7454	1						
PRE008	2	Response	3	47603	49405	1						
PRE008	4	Picture	B1 T1	55782	0	1	5009	392	0	next	other	0
PRE008	5	Picture	RO09.jpg	60791	0	391	38180	392	0	next	other	0
PRE008	6	Sound	RO09.wav	61291	0	2			0		other	0
PRE008	7	Picture	RO09.jpg	98971	0	1	7198	2	0	next	hit	7
PRE008	7	Response	1	105959	6988	1						
PRE008	9	Picture	B1 T2	114167	0	1	5198	2	0	next	other	0
PRE008	10	Picture	RO20.jpg	119365	0	1	37790	2	0	next	other	0
PRE008	11	Sound	RO20.wav	119865	0	2			0		other	0
PRE008	12	Picture	RO20.jpg	157155	0	1	7798	2	0	next	incorrect	12
PRE008	12	Response	1	164766	7611	1						
PRE008	14	Picture	B1 T3	173151	0	1	5199	2	0	next	other	0
PRE008	15	Picture	RS28.jpg	178350	0	1	37790	2	0	next	other	0
PRE008	16	Sound	RS28.wav	178850	0	2			0		other	0
PRE008	17	Picture	RS28.jpg	216140	0	1	12997	2	0	next	hit	17
PRE008	17	Response	2	228926	12786	1						
PRE008	19	Picture	B1 T4	237134	0	1	5199	2	0	next	other	0
PRE008	20	Picture	AT26.jpg	242333	0	1	29392	2	0	next	other	0
PRE008	21	Sound	AT26.wav	242833	0	2			0		other	0
PRE008	22	Picture	AT26.jpg	271725	0	1	4799	2	0	next	hit	22
PRE008	22	Response	1	276512	4787	1						
PRE008	24	Picture	B1 T5	284522	0	1	5199	2	0	next	other	0
PRE008	25	Picture	RS23.jpg	289721	0	1	38190	2	0	next	other	0
PRE008	26	Sound	RS23.wav	290221	0	2			0		other	0
PRE008	27	Picture	RS23.jpg	327911	0	1	9797	2	0	next	hit	27
PRE008	27	Response	2	337569	9658	1						
PRE008	29	Picture	B1 T6	345506	0	1	5199	2	0	next	other	0
PRE008	30	Picture	OF04.jpg	350705	0	1	27192	2	0	next	other	0
PRE008	31	Sound	OF04.wav	351205	0	2			0		other	0
PRE008	32	Picture	OF04.jpg	377897	0	1	11197	2	0	next	hit	32
PRE008	32	Response	1	389071	11174	1						
