Scenario - 												
												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
PRE011	1	Response	3	60050	69850	1						
PRE011	2	Response	3	78665	18484	1						
PRE011	4	Picture	B1 T1	85975	0	1	5008	392	0	next	other	0
PRE011	5	Picture	RO09.jpg	90983	0	391	38180	392	0	next	other	0
PRE011	6	Sound	RO09.wav	91483	0	2			0		other	0
PRE011	7	Picture	RO09.jpg	129163	0	1	12397	2	0	next	incorrect	7
PRE011	7	Response	2	141380	12217	1						
PRE011	9	Picture	B1 T2	148958	0	1	5199	2	0	next	other	0
PRE011	10	Picture	RO20.jpg	154157	0	1	37990	2	0	next	other	0
PRE011	11	Sound	RO20.wav	154657	0	2			0		other	0
PRE011	12	Picture	RO20.jpg	192147	0	1	11797	2	0	next	incorrect	12
PRE011	12	Response	1	203840	11693	1						
PRE011	14	Picture	B1 T3	211342	0	1	5199	2	0	next	other	0
PRE011	15	Picture	RS28.jpg	216541	0	1	37790	2	0	next	other	0
PRE011	16	Sound	RS28.wav	217041	0	2			0		other	0
PRE011	17	Picture	RS28.jpg	254331	0	1	10797	2	0	next	hit	17
PRE011	17	Response	2	264986	10655	1						
PRE011	19	Picture	B1 T4	272326	0	1	5199	2	0	next	other	0
PRE011	20	Picture	AT26.jpg	277525	0	1	29392	2	0	next	other	0
PRE011	21	Sound	AT26.wav	278025	0	2			0		other	0
PRE011	22	Picture	AT26.jpg	306917	0	1	24194	2	0	next	hit	22
PRE011	22	Response	1	330989	24072	1						
PRE011	24	Picture	B1 T5	338509	0	1	5199	2	0	next	other	0
PRE011	25	Picture	RS23.jpg	343708	0	1	38190	2	0	next	other	0
PRE011	26	Sound	RS23.wav	344208	0	2			0		other	0
PRE011	27	Picture	RS23.jpg	381898	0	1	3999	2	0	next	hit	27
PRE011	27	Response	2	385838	3940	1						
PRE011	29	Picture	B1 T6	393095	0	1	5199	2	0	next	other	0
PRE011	30	Picture	OF04.jpg	398294	0	1	27393	2	0	next	other	0
PRE011	31	Sound	OF04.wav	398794	0	2			0		other	0
PRE011	32	Picture	OF04.jpg	425687	0	1	37190	2	0	next	incorrect	32
PRE011	32	Response	2	462727	37040	1						
PRE011	34	Picture	B1 T7	470275	0	1	5199	2	0	next	other	0
PRE011	35	Picture	AT18.jpg	475474	0	1	28392	2	0	next	other	0
PRE011	36	Sound	AT18.wav	475974	0	2			0		other	0
PRE011	37	Picture	AT18.jpg	503866	0	1	6799	2	0	next	hit	37
PRE011	37	Response	1	510594	6728	1						
PRE011	39	Picture	B1 T8	517863	0	1	5198	3	0	next	other	0
PRE011	40	Picture	OF30.jpg	523061	0	2	29593	3	0	next	other	0
PRE011	41	Sound	OF30.wav	523561	0	2			0		other	0
PRE011	42	Picture	OF30.jpg	552654	0	1	58985	2	0	next	incorrect	42
PRE011	42	Response	2	611449	58795	1						
PRE011	44	Picture	B1 T9	619037	0	1	5198	2	0	next	other	0
PRE011	45	Picture	AT10.jpg	624235	0	1	28593	2	0	next	other	0
PRE011	46	Sound	AT10.wav	624735	0	2			0		other	0
PRE011	47	Picture	AT10.jpg	652828	0	1	9198	2	0	next	hit	47
PRE011	47	Response	1	661825	8997	1						
PRE011	49	Picture	B1 T10	669224	0	1	5198	2	0	next	other	0
PRE011	50	Picture	RS05.jpg	674422	0	1	40190	2	0	next	other	0
PRE011	51	Sound	RS05.wav	674922	0	2			0		other	0
PRE011	52	Picture	RS05.jpg	714612	0	1	28593	2	0	next	hit	52
PRE011	52	Response	2	743191	28579	1						
PRE011	54	Picture	B1 T11	750603	0	1	5198	2	0	next	other	0
PRE011	55	Picture	RO08.jpg	755801	0	1	38590	2	0	next	other	0
PRE011	56	Sound	RO08.wav	756301	0	2			0		other	0
PRE011	57	Picture	RO08.jpg	794391	0	1	21595	2	0	next	incorrect	57
PRE011	57	Response	2	815837	21446	1						
PRE011	59	Picture	B1 T12	823184	0	1	5198	3	0	next	other	0
PRE011	60	Picture	AT20.jpg	828382	0	2	28793	3	0	next	other	0
PRE011	61	Sound	AT20.wav	828882	0	2			0		other	0
PRE011	62	Picture	AT20.jpg	857175	0	1	16396	2	0	next	hit	62
PRE011	62	Response	1	873407	16232	1						
PRE011	64	Picture	B1 T13	880969	0	1	5199	2	0	next	other	0
PRE011	65	Picture	OF10.jpg	886168	0	1	28792	2	0	next	other	0
PRE011	66	Sound	OF10.wav	886668	0	2			0		other	0
PRE011	67	Picture	OF10.jpg	914960	0	1	54386	2	0	next	incorrect	67
PRE011	67	Response	2	969196	54236	1						
PRE011	69	Picture	B1 T14	976544	0	1	5199	2	0	next	other	0
PRE011	70	Picture	RO14.jpg	981743	0	1	37990	2	0	next	other	0
PRE011	71	Sound	RO14.wav	982243	0	2			0		other	0
PRE011	72	Picture	RO14.jpg	1019733	0	1	14196	2	0	next	incorrect	72
PRE011	72	Response	2	1033765	14032	1						
PRE011	74	Picture	B1 T15	1041327	0	1	5199	2	0	next	other	0
PRE011	75	Picture	RO02.jpg	1046526	0	1	38590	2	0	next	other	0
PRE011	76	Sound	RO02.wav	1047026	0	2			0		other	0
PRE011	77	Picture	RO02.jpg	1085116	0	1	4399	2	0	next	incorrect	77
PRE011	77	Response	1	1089369	4253	1						
PRE011	79	Picture	B1 T16	1096713	0	1	5199	2	0	next	other	0
PRE011	80	Picture	RO03.jpg	1101912	0	1	36990	2	0	next	other	0
PRE011	81	Sound	RO03.wav	1102412	0	2			0		other	0
PRE011	82	Picture	RO03.jpg	1138902	0	1	9398	2	0	next	incorrect	82
PRE011	82	Response	1	1148166	9264	1						
PRE011	84	Picture	B1 T17	1155698	0	1	5198	2	0	next	other	0
PRE011	85	Picture	AT14.jpg	1160896	0	1	27793	2	0	next	other	0
PRE011	86	Sound	AT14.wav	1161396	0	2			0		other	0
PRE011	87	Picture	AT14.jpg	1188689	0	1	26793	2	0	next	hit	87
PRE011	87	Response	2	1215278	26589	1						
PRE011	89	Picture	B1 T18	1222880	0	1	5199	2	0	next	other	0
PRE011	90	Picture	RS30.jpg	1228079	0	1	39990	2	0	next	other	0
PRE011	91	Sound	RS30.wav	1228579	0	2			0		other	0
PRE011	92	Picture	RS30.jpg	1268069	0	1	8198	2	0	next	hit	92
PRE011	92	Response	2	1276151	8082	1						
PRE011	94	Picture	B1 T19	1283465	0	1	5198	2	0	next	other	0
PRE011	95	Picture	AT15.jpg	1288663	0	1	29593	2	0	next	other	0
PRE011	96	Sound	AT15.wav	1289163	0	2			0		other	0
PRE011	97	Picture	AT15.jpg	1318256	0	1	1999	2	0	next	hit	97
PRE011	97	Response	1	1320165	1909	2						
PRE011	99	Picture	B1 T20	1327453	0	1	5199	2	0	next	other	0
PRE011	100	Picture	AT23.jpg	1332652	0	1	28992	3	0	next	other	0
PRE011	101	Sound	AT23.wav	1333152	0	2			0		other	0
PRE011	102	Picture	AT23.jpg	1361644	0	2	12197	3	0	next	hit	102
