Scenario - 												
												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
TRAIN014	1	Response	2	1943477	1952986	1						
TRAIN014	1	Response	3	1988947	1998456	1						
TRAIN014	2	Response	3	2045412	56314	1						
TRAIN014	4	Picture	B1 T1	2057481	0	1	15006	392	0	next	other	0
TRAIN014	5	Picture	TS09.jpg	2072487	0	391	40780	392	0	next	other	0
TRAIN014	6	Sound	TS09.wav	2072987	0	2			0		other	0
TRAIN014	7	Picture	TS09.jpg	2113267	0	1	7598	2	0	next	incorrect	8
TRAIN014	7	Response	2	2120793	7526	1						
TRAIN014	9	Video	Falsch	2131022	0	498			0		other	0
TRAIN014	11	Picture	B1 T2	2157056	0	1	15196	2	0	next	other	0
TRAIN014	12	Picture	TS25.jpg	2172252	0	1	38791	2	0	next	other	0
TRAIN014	13	Sound	TS25.wav	2172752	0	2			0		other	0
TRAIN014	14	Picture	TS25.jpg	2211043	0	1	4998	2	0	next	incorrect	14
TRAIN014	14	Response	1	2215852	4809	1						
TRAIN014	16	Video	Falsch	2220040	0	2			0		other	0
TRAIN014	18	Picture	B1 T3	2246034	0	1	15196	2	0	next	other	0
TRAIN014	19	Picture	TO06.jpg	2261230	0	1	38790	2	0	next	other	0
TRAIN014	20	Sound	TO06.wav	2261730	0	2			0		other	0
TRAIN014	21	Picture	TO06.jpg	2300020	0	1	4599	2	0	next	hit	20
TRAIN014	21	Response	2	2304477	4457	1						
TRAIN014	23	Video	Richtig	2309418	0	1			0		other	0
TRAIN014	25	Picture	B1 T4	2335212	0	1	15196	2	0	next	other	0
TRAIN014	26	Picture	TS08.jpg	2350408	0	1	38590	2	0	next	other	0
TRAIN014	27	Sound	TS08.wav	2350908	0	2			0		other	0
TRAIN014	28	Picture	TS08.jpg	2388998	0	1	7798	2	0	next	incorrect	26
TRAIN014	28	Response	2	2396679	7681	1						
TRAIN014	30	Video	Falsch	2400395	0	1			0		other	0
TRAIN014	32	Picture	B1 T5	2426389	0	1	15196	2	0	next	other	0
TRAIN014	33	Picture	TO25.jpg	2441585	0	1	38590	2	0	next	other	0
TRAIN014	34	Sound	TO25.wav	2442085	0	2			0		other	0
TRAIN014	35	Picture	TO25.jpg	2480175	0	1	2999	2	0	next	incorrect	32
TRAIN014	35	Response	1	2483082	2907	1						
TRAIN014	37	Video	Falsch	2486774	0	1			0		other	0
TRAIN014	39	Picture	B1 T6	2512367	0	1	15196	2	0	next	other	0
TRAIN014	40	Picture	TS23.jpg	2527563	0	1	39190	3	0	next	other	0
TRAIN014	41	Sound	TS23.wav	2528063	0	2			0		other	0
TRAIN014	42	Picture	TS23.jpg	2566753	0	2	11398	3	0	next	hit	38
TRAIN014	42	Response	2	2578113	11360	1						
TRAIN014	44	Video	Richtig	2582949	0	2			0		other	0
TRAIN014	46	Picture	B1 T7	2608543	0	1	15196	2	0	next	other	0
TRAIN014	47	Picture	TS29.jpg	2623739	0	1	38591	2	0	next	other	0
TRAIN014	48	Sound	TS29.wav	2624239	0	2			0		other	0
TRAIN014	49	Picture	TS29.jpg	2662330	0	1	5998	2	0	next	incorrect	44
TRAIN014	49	Response	1	2668229	5899	1						
TRAIN014	51	Video	Falsch	2671927	0	1			0		other	0
TRAIN014	53	Picture	B1 T8	2698121	0	1	15196	2	0	next	other	0
TRAIN014	54	Picture	TS19.jpg	2713317	0	1	39190	2	0	next	other	0
TRAIN014	55	Sound	TS19.wav	2713817	0	2			0		other	0
TRAIN014	56	Picture	TS19.jpg	2752507	0	1	1799	3	0	next	hit	50
TRAIN014	56	Response	2	2754128	1621	1						
TRAIN014	58	Video	Richtig	2758705	0	2			0		other	0
TRAIN014	60	Picture	B1 T9	2784699	0	1	15196	2	0	next	other	0
TRAIN014	61	Picture	TO05.jpg	2799895	0	1	38390	2	0	next	other	0
TRAIN014	62	Sound	TO05.wav	2800395	0	2			0		other	0
TRAIN014	63	Picture	TO05.jpg	2838285	0	1	4799	2	0	next	hit	56
TRAIN014	63	Response	1	2843062	4777	1						
TRAIN014	65	Video	Richtig	2846683	0	1			0		other	0
TRAIN014	67	Picture	B1 T10	2872877	0	1	15196	2	0	next	other	0
TRAIN014	68	Picture	TS28.jpg	2888073	0	1	38590	2	0	next	other	0
TRAIN014	69	Sound	TS28.wav	2888573	0	2			0		other	0
TRAIN014	70	Picture	TS28.jpg	2926663	0	1	400	2	0	next	hit	62
TRAIN014	70	Response	1	2926942	279	1						
TRAIN014	72	Video	Richtig	2931262	0	1			0		other	0
TRAIN014	74	Picture	B1 T11	2957656	0	1	15196	2	0	next	other	0
TRAIN014	75	Picture	TO04.jpg	2972852	0	1	38790	2	0	next	other	0
TRAIN014	76	Sound	TO04.wav	2973352	0	2			0		other	0
TRAIN014	77	Picture	TO04.jpg	3011642	0	1	1999	3	0	next	incorrect	68
TRAIN014	77	Response	1	3013606	1964	1						
TRAIN014	79	Video	Falsch	3018240	0	1			0		other	0
TRAIN014	81	Picture	B1 T12	3044634	0	1	15196	2	0	next	other	0
TRAIN014	82	Picture	TO23.jpg	3059830	0	1	38790	2	0	next	other	0
TRAIN014	83	Sound	TO23.wav	3060330	0	2			0		other	0
TRAIN014	84	Picture	TO23.jpg	3098620	0	1	12797	2	0	next	incorrect	74
TRAIN014	84	Response	2	3111287	12667	1						
TRAIN014	86	Video	Falsch	3119215	0	1			0		other	0
TRAIN014	88	Picture	B1 T13	3145408	0	2	15197	3	0	next	other	0
TRAIN014	89	Picture	TO10.jpg	3160605	0	1	40989	2	0	next	other	0
TRAIN014	90	Sound	TO10.wav	3161105	0	2			0		other	0
TRAIN014	91	Picture	TO10.jpg	3201594	0	1	4399	2	0	next	incorrect	80
TRAIN014	91	Response	1	3205855	4261	1						
TRAIN014	93	Video	Falsch	3209792	0	1			0		other	0
TRAIN014	95	Picture	B1 T14	3235786	0	1	15196	2	0	next	other	0
TRAIN014	96	Picture	TS22.jpg	3250982	0	1	38990	2	0	next	other	0
TRAIN014	97	Sound	TS22.wav	3251482	0	2			0		other	0
TRAIN014	98	Picture	TS22.jpg	3289972	0	1	5799	2	0	next	incorrect	86
TRAIN014	98	Response	2	3295616	5644	1						
TRAIN014	100	Video	Falsch	3299770	0	1			0		other	0
TRAIN014	102	Picture	B1 T15	3326363	0	1	15196	2	0	next	other	0
TRAIN014	103	Picture	TS11.jpg	3341559	0	1	38391	2	0	next	other	0
TRAIN014	104	Sound	TS11.wav	3342059	0	2			0		other	0
TRAIN014	105	Picture	TS11.jpg	3379950	0	1	4798	3	0	next	incorrect	92
TRAIN014	105	Response	1	3384701	4751	1						
TRAIN014	107	Video	Falsch	3389147	0	1			0		other	0
TRAIN014	109	Picture	B1 T16	3415341	0	1	15196	2	0	next	other	0
TRAIN014	110	Picture	TO30.jpg	3430537	0	1	39590	2	0	next	other	0
TRAIN014	111	Sound	TO30.wav	3431037	0	2			0		other	0
TRAIN014	112	Picture	TO30.jpg	3470127	0	1	15196	2	0	next	incorrect	98
TRAIN014	112	Response	2	3485244	15117	1						
TRAIN014	114	Video	Falsch	3488922	0	2			0		other	0
TRAIN014	116	Picture	B1 T17	3515116	0	1	15196	2	0	next	other	0
TRAIN014	117	Picture	TO18.jpg	3530312	0	1	39390	2	0	next	other	0
TRAIN014	118	Sound	TO18.wav	3530812	0	2			0		other	0
TRAIN014	119	Picture	TO18.jpg	3569702	0	1	8998	2	0	next	hit	104
TRAIN014	119	Response	1	3578491	8789	1						
TRAIN014	121	Video	Richtig	3582899	0	1			0		other	0
TRAIN014	123	Picture	B1 T18	3608492	0	1	15197	2	0	next	other	0
TRAIN014	124	Picture	TO19.jpg	3623689	0	1	39190	2	0	next	other	0
TRAIN014	125	Sound	TO19.wav	3624189	0	2			0		other	0
TRAIN014	126	Picture	TO19.jpg	3662879	0	1	15596	2	0	next	hit	110
TRAIN014	126	Response	2	3678310	15431	1						
TRAIN014	128	Video	Richtig	3682074	0	1			0		other	0
TRAIN014	130	Picture	B1 T19	3707867	0	2	15197	3	0	next	other	0
TRAIN014	131	Picture	TS13.jpg	3723064	0	1	38790	2	0	next	other	0
TRAIN014	132	Sound	TS13.wav	3723564	0	2			0		other	0
TRAIN014	133	Picture	TS13.jpg	3761854	0	1	6598	2	0	next	incorrect	116
TRAIN014	133	Response	1	3768323	6469	1						
TRAIN014	135	Video	Falsch	3772251	0	2			0		other	0
TRAIN014	137	Picture	B1 T20	3798245	0	1	15196	2	0	next	other	0
TRAIN014	138	Picture	TO01.jpg	3813441	0	1	38790	2	0	next	other	0
TRAIN014	139	Sound	TO01.wav	3813941	0	2			0		other	0
TRAIN014	140	Picture	TO01.jpg	3852231	0	1	5799	2	0	next	incorrect	122
TRAIN014	140	Response	1	3857990	5759	1						
TRAIN014	142	Video	Falsch	3862229	0	1			0		other	0
TRAIN014	144	Picture	B1 T21	3888222	0	1	15196	3	0	next	other	0
TRAIN014	145	Picture	TO03.jpg	3903418	0	2	38991	3	0	next	other	0
TRAIN014	146	Sound	TO03.wav	3903918	0	2			0		other	0
TRAIN014	147	Picture	TO03.jpg	3942409	0	1	2199	2	0	next	hit	128
TRAIN014	147	Response	1	3944526	2117	1						
TRAIN014	149	Video	Richtig	3949007	0	1			0		other	0
TRAIN014	151	Picture	B1 T22	3975600	0	1	15197	2	0	next	other	0
TRAIN014	152	Picture	TO22.jpg	3990797	0	1	40190	2	0	next	other	0
TRAIN014	153	Sound	TO22.wav	3991297	0	2			0		other	0
TRAIN014	154	Picture	TO22.jpg	4030987	0	1	12196	2	0	next	hit	134
TRAIN014	154	Response	2	4043117	12130	1						
TRAIN014	156	Video	Richtig	4046752	0	232			0		other	0
TRAIN014	158	Picture	B1 T23	4072976	0	1	15196	2	0	next	other	0
TRAIN014	159	Picture	TS10.jpg	4088172	0	1	39590	2	0	next	other	0
TRAIN014	160	Sound	TS10.wav	4088672	0	2			0		other	0
TRAIN014	161	Picture	TS10.jpg	4127762	0	1	7598	2	0	next	incorrect	140
TRAIN014	161	Response	1	4135334	7572	1						
TRAIN014	163	Video	Falsch	4139159	0	2			0		other	0
