Scenario - 												
												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
TRAIN002	1	Response	3	6985490	6994939	1						
TRAIN002	2	Response	3	6990544	4955	1						
TRAIN002	4	Picture	B1 T1	7002185	0	1	15006	392	0	next	other	0
TRAIN002	5	Picture	TS09.jpg	7017191	0	391	40580	392	0	next	other	0
TRAIN002	6	Sound	TS09.wav	7017691	0	2			0		other	0
TRAIN002	7	Picture	TS09.jpg	7057771	0	1	8997	2	0	next	hit	7
TRAIN002	7	Response	1	7066567	8796	1						
TRAIN002	9	Video	Richtig	7071305	0	263			0		other	0
TRAIN002	11	Picture	B1 T2	7097560	0	1	15196	2	0	next	other	0
TRAIN002	12	Picture	TS25.jpg	7112756	0	1	38790	2	0	next	other	0
TRAIN002	13	Sound	TS25.wav	7113256	0	2			0		other	0
TRAIN002	14	Picture	TS25.jpg	7151546	0	1	4399	2	0	next	incorrect	13
TRAIN002	14	Response	1	7155747	4201	1						
TRAIN002	16	Video	Falsch	7160144	0	1			0		other	0
TRAIN002	18	Picture	B1 T3	7186337	0	1	15196	2	0	next	other	0
TRAIN002	19	Picture	TO06.jpg	7201533	0	1	38790	2	0	next	other	0
TRAIN002	20	Sound	TO06.wav	7202033	0	2			0		other	0
TRAIN002	21	Picture	TO06.jpg	7240323	0	1	13397	2	0	next	incorrect	19
TRAIN002	21	Response	1	7253700	13377	1						
TRAIN002	23	Video	Falsch	7257919	0	1			0		other	0
TRAIN002	25	Picture	B1 T4	7284512	0	1	15196	2	0	next	other	0
TRAIN002	26	Picture	TS08.jpg	7299708	0	1	38590	2	0	next	other	0
TRAIN002	27	Sound	TS08.wav	7300208	0	2			0		other	0
TRAIN002	28	Picture	TS08.jpg	7338298	0	1	8998	2	0	next	incorrect	25
TRAIN002	28	Response	2	7347137	8839	1						
TRAIN002	30	Video	Falsch	7351295	0	1			0		other	0
TRAIN002	32	Picture	B1 T5	7377688	0	1	15196	2	0	next	other	0
TRAIN002	33	Picture	TO25.jpg	7392884	0	1	38590	2	0	next	other	0
TRAIN002	34	Sound	TO25.wav	7393384	0	2			0		other	0
TRAIN002	35	Picture	TO25.jpg	7431474	0	1	15396	2	0	next	incorrect	31
