Scenario - 												
												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
TRAIN008	1	Response	3	3814336	3823071	2						
TRAIN008	2	Response	3	3836525	22148	1						
TRAIN008	4	Picture	B1 T1	3847368	0	1	15006	392	0	next	other	0
TRAIN008	5	Picture	TS09.jpg	3862374	0	391	40579	392	0	next	other	0
TRAIN008	6	Sound	TS09.wav	3862874	0	2			0		other	0
TRAIN008	7	Picture	TS09.jpg	3902953	0	1	40590	2	0	next	hit	7
TRAIN008	7	Response	1	3943466	40513	1						
TRAIN008	9	Video	Richtig	3950780	0	389			0		other	0
TRAIN008	11	Picture	B1 T2	3977134	0	1	15195	3	0	next	other	0
TRAIN008	12	Picture	TS25.jpg	3992329	0	2	38790	3	0	next	other	0
TRAIN008	13	Sound	TS25.wav	3992829	0	2			0		other	0
TRAIN008	14	Picture	TS25.jpg	4031119	0	1	41589	2	0	next	incorrect	13
TRAIN008	14	Response	1	4072514	41395	1						
TRAIN008	16	Video	Falsch	4076907	0	1			0		other	0
TRAIN008	18	Picture	B1 T3	4103100	0	1	15196	2	0	next	other	0
TRAIN008	19	Picture	TO06.jpg	4118296	0	1	38789	2	0	next	other	0
TRAIN008	20	Sound	TO06.wav	4118796	0	2			0		other	0
TRAIN008	21	Picture	TO06.jpg	4157085	0	1	21995	2	0	next	incorrect	19
TRAIN008	21	Response	1	4179008	21923	1						
TRAIN008	23	Video	Falsch	4182679	0	1			0		other	0
TRAIN008	25	Picture	B1 T4	4208872	0	1	15196	2	0	next	other	0
TRAIN008	26	Picture	TS08.jpg	4224068	0	1	38589	2	0	next	other	0
TRAIN008	27	Sound	TS08.wav	4224568	0	2			0		other	0
TRAIN008	28	Picture	TS08.jpg	4262657	0	1	85177	3	0	next	incorrect	25
TRAIN008	28	Response	2	4347772	85115	1						
TRAIN008	30	Video	Falsch	4354833	0	1			0		other	0
TRAIN008	32	Picture	B1 T5	4380826	0	1	15196	2	0	next	other	0
TRAIN008	33	Picture	TO25.jpg	4396022	0	1	38589	2	0	next	other	0
TRAIN008	34	Sound	TO25.wav	4396522	0	2			0		other	0
TRAIN008	35	Picture	TO25.jpg	4434611	0	1	25393	3	0	next	incorrect	31
TRAIN008	35	Response	1	4459877	25266	1						
TRAIN008	37	Video	Falsch	4464003	0	2			0		other	0
TRAIN008	39	Picture	B1 T6	4489996	0	2	15196	3	0	next	other	0
TRAIN008	40	Picture	TS23.jpg	4505192	0	1	38990	2	0	next	other	0
TRAIN008	41	Sound	TS23.wav	4505692	0	2			0		other	0
TRAIN008	42	Picture	TS23.jpg	4544182	0	1	7198	2	0	next	hit	37
TRAIN008	42	Response	2	4551257	7075	1						
TRAIN008	44	Video	Richtig	4555779	0	1			0		other	0
TRAIN008	46	Picture	B1 T7	4581572	0	1	15196	2	0	next	other	0
TRAIN008	47	Picture	TS29.jpg	4596768	0	1	38590	2	0	next	other	0
TRAIN008	48	Sound	TS29.wav	4597268	0	2			0		other	0
TRAIN008	49	Picture	TS29.jpg	4635358	0	1	10597	2	0	next	hit	43
TRAIN008	49	Response	2	4645812	10454	1						
TRAIN008	51	Video	Richtig	4650154	0	1			0		other	0
TRAIN008	53	Picture	B1 T8	4676347	0	1	15196	2	0	next	other	0
TRAIN008	54	Picture	TS19.jpg	4691543	0	1	39189	2	0	next	other	0
TRAIN008	55	Sound	TS19.wav	4692043	0	2			0		other	0
TRAIN008	56	Picture	TS19.jpg	4730732	0	1	26193	2	0	next	hit	49
TRAIN008	56	Response	2	4756869	26137	1						
TRAIN008	58	Video	Richtig	4760524	0	1			0		other	0
TRAIN008	60	Picture	B1 T9	4786317	0	1	15196	2	0	next	other	0
TRAIN008	61	Picture	TO05.jpg	4801513	0	1	38390	2	0	next	other	0
TRAIN008	62	Sound	TO05.wav	4802013	0	2			0		other	0
TRAIN008	63	Picture	TO05.jpg	4839903	0	1	17795	2	0	next	hit	55
TRAIN008	63	Response	1	4857488	17585	2						
TRAIN008	65	Video	Richtig	4861297	0	1			0		other	0
